Latitude,Longitude,Meadow_type,FIN_TYP,nearestDist (m),ALT_CODE,ECOREGION,ECO_CODE,ECO_CODE_X,Lat_Zone,PROVINCE,PROV_CODE,REALM,RLM_CODE,ARCTICCODE,AREA,BASINAREA,BASINID,BASINLENGT,BASINORDER,COLOR,CONTINENT_,C_BASIN_,C_BASIN_ID,DATA_VOL,DBITEMS,ESRI,HYDRO,MERGED_BAS,OCEANCODE,OCEANNAME,OCEAN_CODE,PERIMETER,RECORDNAME,SEABASINCO,SEABASINNA,SEACODE,SEANAME,SUBCONTINE,SUBCONTINE1,SYMBOLFLD,UP6
-31.81131371,115.717261,monospecific,1,0,192,Houtman,20211,211,Temperate,West Central Australian Shelf,58,Temperate Australasia,11,0,15.5,166000.3,109,762,4,7,3,6577,6576,0,Record:109,Australasia,Australasia,0,64,Indian Ocean,3,24,Swan-Avon,1413,West Australian Coast,64,Indian Ocean,Australia,3,Network Symbol,Australasia
-31.81147095,115.7167786,monospecific,1,0,192,Houtman,20211,211,Temperate,West Central Australian Shelf,58,Temperate Australasia,11,0,15.5,166000.3,109,762,4,7,3,6577,6576,0,Record:109,Australasia,Australasia,0,64,Indian Ocean,3,24,Swan-Avon,1413,West Australian Coast,64,Indian Ocean,Australia,3,Network Symbol,Australasia
-31.81157197,115.7162716,monospecific,1,0,192,Houtman,20211,211,Temperate,West Central Australian Shelf,58,Temperate Australasia,11,0,15.5,166000.3,109,762,4,7,3,6577,6576,0,Record:109,Australasia,Australasia,0,64,Indian Ocean,3,24,Swan-Avon,1413,West Australian Coast,64,Indian Ocean,Australia,3,Network Symbol,Australasia
-34.00926944,151.1880306,monospecific,2,1028.364765,200,Manning-Hawkesbury,20203,203,Temperate,East Central Australian Shelf,55,Temperate Australasia,11,0,0.75,7710.9,1385,164.7,1,7,3,6723,6722,2,Record:1385,Australasia,Australasia,0,96,Pacific Ocean,6,4,GHAASBasin1385,1410,West Tasman Sea,96,Pacific Ocean,Australia,3,Network Symbol,Australasia
-34.00942124,151.1882595,monospecific,2,1045.175422,200,Manning-Hawkesbury,20203,203,Temperate,East Central Australian Shelf,55,Temperate Australasia,11,0,0.75,7710.9,1385,164.7,1,7,3,6723,6722,2,Record:1385,Australasia,Australasia,0,96,Pacific Ocean,6,4,GHAASBasin1385,1410,West Tasman Sea,96,Pacific Ocean,Australia,3,Network Symbol,Australasia
-34.00933269,151.1876796,monospecific,2,1035.299058,200,Manning-Hawkesbury,20203,203,Temperate,East Central Australian Shelf,55,Temperate Australasia,11,0,0.75,7710.9,1385,164.7,1,7,3,6723,6722,2,Record:1385,Australasia,Australasia,0,96,Pacific Ocean,6,4,GHAASBasin1385,1410,West Tasman Sea,96,Pacific Ocean,Australia,3,Network Symbol,Australasia
-25.78701667,113.8516167,monospecific,7,14882.34056,193,Shark Bay,20210,210,Temperate,West Central Australian Shelf,58,Temperate Australasia,11,0,0.75,8352.9,1323,150.2,1,9,3,6553,6552,4,Record:1323,Australasia,Australasia,0,64,Indian Ocean,3,4,GHAASBasin1323,1413,West Australian Coast,64,Indian Ocean,Australia,3,Network Symbol,Australasia
-33.11624,137.9668,monospecific,7,0,196,South Australian Gulfs,20207,207,Temperate,Southwest Australian Shelf,57,Temperate Australasia,11,0,6,62983,254,621.7,2,10,3,6635,6634,4,Record:254,Australasia,Australasia,0,64,Indian Ocean,3,16,GHAASBasin254,1412,Great Australian Bay,64,Indian Ocean,Australia,3,Network Symbol,Australasia
42.322,3.309,monospecific,3,25471.37865,0,Western Mediterranean,25035,35,Temperate,Mediterranean Sea,4,Temperate Northern Atlantic,2,0,0.5,4576.4,2191,110.4,1,9,4,3700,3699,0,Record:2191,Europe,Europe,0,2,Mediterranean+Black Sea,5,3,GHAASBasin2191,415,Balearic Basin,2,Mediterranean Sea,Europe,4,Network Symbol,Europe
40.753,13.9,monospecific,1,27430.32993,0,Western Mediterranean,25035,35,Temperate,Mediterranean Sea,4,Temperate Northern Atlantic,2,0,0.25,2324.1,4061,69.7,1,9,4,3754,3753,0,Record:4061,Europe,Europe,0,2,Mediterranean+Black Sea,5,2,GHAASBasin4061,414,Tyrrhenian Basin,2,Mediterranean Sea,Europe,4,Network Symbol,Europe
