Site,CoreID,Species,Meadow_type,Location,Station,Latitude,Longitude,Country,Stock_0_20cm,Stock_0_50cm,Stock_20_50cm,Stock_20_50cm_estimate,d13C_surface,d13C_0_20cm,SD_d13C_0_20cm,N_d13C_0_20cm,d13C_0_50cm,SD_d13C_0_50cm,N_d13C_0_50cm,d13C_20_50cm,SD_d13C_20_50cm,N_d13C_20_50cm,d13C_leaf,SD_d13C_leaf,N_d13C_leaf,surface_soil_leaf_difference_d13C,z0_20_soil_leaf_difference_d13C,z20_50_soil_leaf_difference_d13C,Source
,#37-1,Enhalus acoroides,monospecific,South China Sea,Siapar Island,16.36214,119.96336,Philippines,11.2,,,,-17,-17,0.22,4,,,,,,,,,,-6.9,-6.9,,Miyajima unpublished data
,M-3,Thalassia hemprichii,monospecific,Ishigaki Island,Miyara River mouth,24.35177,124.21716,Japan,11.1,,,,-15,,,,,,,,,,,,,-4.5,,,Miyajima unpublished data
,M-4,Thalassia hemprichii,monospecific,Ishigaki Island,Miyara River mouth,24.35177,124.21716,Japan,9.8,,,,-15.4,,,,,,,,,,,,,-4.9,,,Miyajima unpublished data
2,"C2, F-1",Enhalus acoroides,monospecific,Ishigaki Is,Fukido river,24.4883,124.2277,Japan,8.3,23.9,15.9,15.6,-17.6,-17.2,0.36,3,-17.5,0.53,6,-17.8,0.58,3,,,,-7.5,-7.1,-7.7,"Miyajima, T., M. Hori, M. Hamaguchi, H. Shimabukuro, H. Adachi, H. Yamano, and M. Nakaoka (2015), Geographic variability in organic carbon stock and accumulation rate in sediments of East and Southeast Asian seagrass meadows, Global Biogeochem. Cycles, 29, 397–415"
2,"C3, F-2",Enhalus acoroides,monospecific,Ishigaki Is,Fukido river,24.4884,124.2279,Japan,9.3,29.7,21,20.4,-18.3,-18.4,1,3,-18.1,0.75,6,-17.8,0.25,3,,,,-8.2,-8.3,-7.7,"Miyajima, T., M. Hori, M. Hamaguchi, H. Shimabukuro, H. Adachi, H. Yamano, and M. Nakaoka (2015), Geographic variability in organic carbon stock and accumulation rate in sediments of East and Southeast Asian seagrass meadows, Global Biogeochem. Cycles, 29, 397–415"
,F-3,Enhalus acoroides,monospecific,Ishigaki Island,Fukido River mouth,24.48862,124.2286,Japan,12.3,35.7,23.4,23.4,-17.3,-16.2,1.55,2,-16.7,1.08,5,-17,0.89,3,,,,-7.2,-6.1,-6.9,Miyajima unpublished data
,F-4,Thalassia hemprichii,monospecific,Ishigaki Island,Fukido River mouth,24.48879,124.22926,Japan,8.9,,,,-18.4,-18.4,,2,,,,,,,-10.5,4,41,-7.9,-7.9,,Miyajima unpublished data
,F-5,Thalassia hemprichii,monospecific,Ishigaki Island,Fukido River mouth,24.48891,124.2295,Japan,8.5,,,,-21.1,-20.9,0.73,3,,,,,,,,,,-10.6,-10.4,,Miyajima unpublished data
,S-2,Cymodocea serrulata,monospecific,Ishigaki Island,Shiraho reef,24.36523,124.24967,Japan,10.5,,,,-12.6,-12.7,0.15,2,,,,,,,,,,-2,-2.1,,Miyajima unpublished data
,"S-4,",Cymodocea serrulata,monospecific,Ishigaki Island,Shiraho reef,24.36523,124.24967,Japan,13.7,32.1,18.4,18.4,-13.1,-12.7,0.56,2,-12.6,0.42,5,-12.6,0.44,3,,,,-2.5,-2.1,-2,Miyajima unpublished data
,"C1, S-1",Cymodocea serrulata,monospecific,Ishigaki Is,Shiraho reef,24.3652,124.2502,Japan,9.7,32.7,19.8,23,-13.9,-12.1,1.28,2,-12.6,0.74,5,-12.4,0.21,3,,,,-3.3,-1.5,-1.8,"Miyajima, T., M. Hori, M. Hamaguchi, H. Shimabukuro, H. Adachi, H. Yamano, and M. Nakaoka (2015), Geographic variability in organic carbon stock and accumulation rate in sediments of East and Southeast Asian seagrass meadows, Global Biogeochem. Cycles, 29, 397–415"
,SS1-1long,"Thalassia hemprichii, Cymodocea rotundata, Cymodocea serrulata",multispecific,Shiraho reef,,24.3623,124.2515,Japan,11.9,,,,-11.9,-12,0.3,4,,,,,,,,,,,,,"Tanaya, T., K. Watanabe, S. Yamamoto, C. Hongo, H. Kayanne and T. Kuwae (2018): Contributions of the direct supply of belowground seagrass detritus and trapping of suspended organic matter to the sedimentary organic carbon stock in seagrass meadows, Biogeosciences,15, 4033-4045."
